Location_Name,Location_Identifier,Latitude,Longitude
SC01306323CCA QAL47,USGS-385356104251301,38.89867222,-104.4208389
SC01106604CAA DAWMAS11,USGS-390716104470801,39.12119444,-104.7856667
ARKANSAS RIVER SITE 10-A,USGS-381534104333201,38.25944715,-104.5594172
SC01406217AAC1,USGS-385011104220601,38.83630833,-104.3684056
SC01706505BCB1 SCBD-6,USGS-383606104415301,38.60166465,-104.6985844
SC02006727DDA  ELMW-08,USGS-381631104185201,38.2752794,-104.314967
FOUNTAIN CR 0.2 MI ABV CAVERN GULCH NR MANITO SPGS,USGS-385223104554201,38.87306389,-104.9282861
SC02006431CAC2,USGS-381533104353302,38.25919444,-104.5924444
COTTONWOOD CR DRAIN RANGEWOOD DR AT CO SPRGS,USGS-385549104451401,38.93038889,-104.7538333
"SAND CREEK BELOW FORT CARSON NEAR WIGWAM, CO",USGS-383325104424801,38.557,-104.7133889
FOUNTAIN CR DRAIN NR CIRCLE DR AT CO SPRG (CULVRT),USGS-384749104470801,38.79686111,-104.7854722
SC01506325BBB2,USGS-384333104241301,38.72243889,-104.4033111
"BLACK SQUIRREL CREEK NEAR EASTONVILLE, CO",USGS-390113104335701,39.02016667,-104.5659444
SC01606636DDA FC-1,USGS-383631104430701,38.60860896,-104.7191403
