Org_Identifier,Org_FormalName,ProviderName,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,Location_SourceMapScale,Location_HorzAccuracyMeasure,Location_HorzAccuracyMeasureUnit,Location_HorzCollectionMethod,Location_VerticalMeasure,Location_VerticalMeasureUnit,Location_VerticalAccuracyMeasure,Location_VerticalAccuracyMeasureUnit,Location_VertCollectionMethod,Location_VertCoordReferenceSystemDatum,Location_WellType,Location_AquiferType,Location_NationalAquifer,Location_LocalAquiferCode,Location_LocalAquiferCodeContext,Location_LocalAquifer,Location_LocalAquiferDescription,Location_AquiferFormationType,Location_WellHoleDepthMeasure,Location_WellHoleDepthUnit,Location_WellContructionDate,Location_WellDepthMeasure,Location_WellDepthMeasureUnit,Location_DrainageAreaMeasure,Location_DrainageAreaMeasureUnit,Location_ContributingDrainageAreaMeasure,Location_ContributingDrainageAreaMeasureUnit,AlternateLocation_IdentifierA,AlternateLocation_IdentifierContextA,AlternateLocation_IdentifierB,AlternateLocation_IdentifierContextB,AlternateLocation_IdentifierC,AlternateLocation_IdentifierContextC
USGS,U.S. Geological Survey,USGS,USGS-384712104464801,SCO1416633DAC1,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.786660796579,-104.780528640401,NAD83,38.786660796579,-104.780528640401,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,13.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384712104471301,SC01406633CAD1,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7866605587741,-104.787473132955,NAD83,38.7866605587741,-104.787473132955,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,24.85,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382057104193401,SC02006234CDB  WS-17,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020005,110200050301,,,38.3491669643662,-104.326633296354,NAD83,38.3491669643662,-104.326633296354,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,112TERC,,Terrace Deposits,,,,,,68.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384713104463200,SAND CK DS LAS VEGAS ST,Stream,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030302,,,38.7869387248092,-104.776084170663,NAD83,38.7869387248092,-104.776084170663,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384717104455301,SC01406634DBB2,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030302,,,38.7880501977847,-104.765250782585,NAD83,38.7880501977847,-104.765250782585,NAD83,24000,,,,,,,,,,,,,,,,,,,,,71.4,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384718104463701,SC01406633DAA BARNES,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7883275577521,-104.777473096917,NAD83,38.7883275577521,-104.777473096917,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,N100ALLUVL,111ALFP,,"Alluvium, Flood Plain",,,,,,72.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384718104465801,SC01406633DBB1 U-5,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7883273593787,-104.783306471748,NAD83,38.7883273593787,-104.783306471748,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,16.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384719104444701,SC01406635CAA CO259-26,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030302,,,38.7886062687608,-104.746917279265,NAD83,38.7886062687608,-104.746917279265,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,N100ALLUVL,111VLFL,,Valley-Fill Deposits,,,,,,112.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382100104221201,SC01906231DDA  ODMW-08,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3500005384934,-104.370523090563,NAD83,38.3500005384934,-104.370523090563,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,42.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384720104455400,CANAL 4 DS SAND CREEK,Canal,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030302,,,38.7888835151811,-104.765528577838,NAD83,38.7888835151811,-104.765528577838,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382101104221501,SC01906231DAC  ODMW-04,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3502783162474,-104.371356438998,NAD83,38.3502783162474,-104.371356438998,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,28.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382104104221901,SC01906231DAC  ODMW-06,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3511116414264,-104.372467566554,NAD83,38.3511116414264,-104.372467566554,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,27.0,ft,,,,,,,,,,
